id,idLicitacion,ordenCompra,estado,rutCliente,referencia,fecha,plazo,usuario
158,3779-20-L117	,,Pendiente,,,2017-02-22T00:00:00.000Z,,soledad2
5,434-380-L116,,Pendiente,,,2016-12-06T00:00:00.000Z,,soledad2
6,3492-73-L116,,Pendiente,69.051.300-5,,2016-12-06T00:00:00.000Z,,soledad2
7,2310-648-L116,,Pendiente,69.110.100-2,,2016-12-06T00:00:00.000Z,30,soledad2
8,1575-42-L116,,Pendiente,70.072.600-2,,2016-12-07T00:00:00.000Z,,soledad2
9,1398-191-L116,2,Pendiente,61.606.800-8,,2016-12-07T00:00:00.000Z,0,soledad2
10,4738-18-L116,,Pendiente,69.080.400-K,,2016-12-07T00:00:00.000Z,,soledad2
11,4022-270-L116,,Pendiente,69.250.800-9,,2016-12-07T00:00:00.000Z,,soledad2
12,3942-134-L116,3,Pendiente,69.160.300-8,,2016-12-07T00:00:00.000Z,1,soledad2
13,2447-203-L116,,Pendiente,69.040.300-5,,2016-12-07T00:00:00.000Z,,soledad2
15,3179-156-L116,1,Pendiente,61.938.500-4,,2016-12-09T00:00:00.000Z,1,soledad2
17,2281-570-L116,,Pendiente,69.200.100-1,,2016-12-12T00:00:00.000Z,,soledad2
18,4189-103-L116,,Pendiente,69.160.300-8,,2016-12-12T00:00:00.000Z,,soledad2
20,602-178-L116,,Pendiente,69.210.300-9,,2016-12-13T00:00:00.000Z,,soledad2
21,3486-148-L116,,Pendiente,69.190.400-8,,2016-12-13T00:00:00.000Z,8,soledad2
22, 2450-935-L116,,No Adjudicada,,,2016-12-14T00:00:00.000Z,8,soledad2
23,5061-262-L116,,Pendiente,69.190.700-7,,2016-12-14T00:00:00.000Z,,soledad2
24,2583-821-L116,,Pendiente,69.070.900-7,,2016-12-14T00:00:00.000Z,,marcelas
25,4029-41-L116,,Pendiente,69.251.100-K,,2016-12-14T00:00:00.000Z,,marcelas
26,1736-1027-L116,,Pendiente,69.255.300-4,,2016-12-15T00:00:00.000Z,,soledad2
1229,5215-861-l118,,No Adjudicada,69.072.400-6,La Granja,2018-12-11T00:00:00.000Z,7  dÃ­as habiles,Maritza1
28,2336-164-L116(1),,Pendiente,,,2016-12-14T00:00:00.000Z,0,matesp
30,602-174-L116,,Pendiente,69.210.301-7,,2016-12-19T00:00:00.000Z,,soledad2
31,2917-173-L116,,Pendiente,69.210.302-5,,2016-12-19T00:00:00.000Z,,soledad2
32,2328-528-L116,,Pendiente,69.220.100-0,2328-528-L116,2016-12-19T00:00:00.000Z,8,soledad2
33,4189-104-L116,,Pendiente,69.160.300-8,,2016-12-19T00:00:00.000Z,,soledad2
34,2917-174-L116,,Pendiente,69.210.302-5,,2016-12-19T00:00:00.000Z,,soledad2
35,3087-44-L116,,Pendiente,69.050.800-1,,2016-12-19T00:00:00.000Z,,soledad2
36,2789-270-L116,,Pendiente,69.072.600-9,1,2016-12-19T00:00:00.000Z,8,soledad2
37,4735-52-L116,,Pendiente,69.265.000-K,,2016-12-20T00:00:00.000Z,,soledad2
38,2759-217-L116,,Pendiente,69.151.200-2,,2016-12-20T00:00:00.000Z,,soledad2
39,2774-68-L116,,Pendiente,69.264.700-9,,2016-12-20T00:00:00.000Z,,soledad2
40,3977-66-L116,,Pendiente,69.170.202-2,,2016-12-20T00:00:00.000Z,,soledad2
41,1736-1060-L116,,Pendiente,69.255.300-4,,2016-12-21T00:00:00.000Z,,soledad2
42,3017-966-L116,,Pendiente,69.151.300-9,,2016-12-21T00:00:00.000Z,,soledad2
43,2280-349-L116,,Pendiente,69.200.100-1,,2016-12-21T00:00:00.000Z,,soledad2
