odtItemId,odtId,odtOrdenId,odtDescripcion,productoId,codigoInterno,nombre,cantidad,estado,obs
1,208,377,OT #1368 — No hay,1237,MK-36,Kit Psicomotricidad Espacial,1,Listo,
2,208,377,OT #1368 — No hay,982,MK-32,RULO,1,Listo,
3,195,375,OT #1178 — No hay,116,MK-10,Centro de estimulacion motriz. ,1,Listo,2*50*25 cm
4,195,375,OT #1178 — No hay,62,MK-02,PISCINA SENSORIAL RECTANGULAR,1,Listo,100*190*70 cm
5,195,375,OT #1178 — No hay,0,MK-67 ,Plato equilibrio ,1,Listo,circular
6,110,384,OT #944 — No hay,62,MK-02,PISCINA SENSORIAL RECTANGULAR,1,Listo,
7,110,384,OT #944 — No hay,0,DEPGIMBAL044 ,Set 100 pelotas plasticas,5,Listo,
8,256,385,OT #9784 — No hay,0,MK-60 ,Vestibulador mudador. ,1,Listo,
12,500,303,OT #9558 — No hay,0,MK-27 ,CENTRO CUÃDRUPLE POSICIONAL,1,Listo,
13,500,303,OT #9558 — No hay,984,MK-33,Cilindro tipo manÃ­. ,1,Listo,
14,500,303,OT #9558 — No hay,1320,MK-20A,CILINDROS,1,Listo,
16,500,303,OT #9558 — No hay,992,MK-35,Kit Caballete ,1,Listo,
17,500,303,OT #9558 — No hay,113,MK-09,KIT PARALELEPÃPEDOS,1,Listo,
18,500,303,OT #9558 — No hay,1236,MK-97,Kit Psicomotriz Escala,1,Listo,
19,500,303,OT #9558 — No hay,2129,MK-84,KIT SALTO,1,Listo,
20,500,303,OT #9558 — No hay,2115,MK-62,MANTA VOLADORA,1,Listo,
21,500,303,OT #9558 — No hay,0,MK-41 ,Puf pera Cala ,4,Listo,
22,500,303,OT #9558 — No hay,1331,MK-145,Rampa deslizamiento ,1,Listo,
23,500,303,OT #9558 — No hay,109,MK-07,TÃºnel de arrastre.,1,Listo,
24,500,303,OT #9558 — No hay,1016,MK-59,Vestibulador Rollo (Columpio). ,1,Listo,
30,199,329,OT #1296 — No hay,0,YP-15,Set de 4 cintas de colores,8,Listo,
31,193,337,OT #1276 — No hay,119,MK-13,Centro de psicomotricidad cala,1,Listo,
33,258,410,OT #1529,982,MK-32,RULO,1,Listo,
34,190,413,OT #1245 — No hay,1230,MK-03,Centro psicomotriz sala cuna.,1,Listo,
35,190,413,OT #1245 — No hay,11584,MK-99,Gimnasio InterÃ¡ctivo,1,Listo,
36,222,414,OT #1401 — No hay,912,MK-72,Centro de estimulaciÃ³n de gateo,1,Listo,
37,25,425,OT #314 — No hay,111,MK-08,SET FIGURAS GEOMETRICAS,1,Listo,
