decision_cliente,accion_requerida,producto_id,codigo_interno,nombre,stock,stock_critico,bodega,categoria,proveedor,activo,estado_inventario,comentario_cliente
"",VALIDAR_AJUSTE_INVENTARIO,28545,JUEGBAS599,FIGURAS TEXTURADAS ANTI ESTRES DE SILICONA 6 PIEZAS - PIEDRAS,-38,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,32185,JUEGCAI025-3,COLUMNA DE LLUVIA SONICA,-38,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,9449,SOD3045676,CAJA ORGANIZADORA 45 LITROS 50X40X31 CM TRANSPARENTE,-38,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,26520,JUEGROL24004,HULA HULA 60 CMS,-35,0,Inventario,++Recién llegados ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,17931,JUEGSH916,TABLERO SENSORIAL MONTESSORI,-34,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,6757,AMBOXGUA213,Guante Box Okami Prof,-30,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,12202,MERCSET,SET  26 PIEZAS FIDGET CUBE JUGUETE SENSORIAL ANTI ESTRÉS,-28,0,Inventario,Implementos terapeuticos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,993,25bandas,25 Cinta Rebotadora Para Silla Hiperactividad Niños Tea/tdah Multicolor,-27,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,18960,MUNDT051,BLOCK DE EMOCIONES,-25,0,Inventario,Implementos terapeuticos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,1431,DAS001,HULA HULA 50 CM,-16,1,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,25623,DEPGIMBAL203,BALON MULTIUSO - INICIACION UKTIME NÂ°3,-15,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,4545,JUEGPLAS1282,TALLARIN DE FLOTACION,-15,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,5012,JUEGROL24051,SET PELOTAS PLASTICAS 100 UNIDADES,-14,0,Inventario,++Recién llegados ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,9926,1725025,CAJA ORGANIZADORA WENBOX 15 LITROS 42X32X16 CM TRANSPARENTE,-13,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,31592,JUEGSET-124,CAJA SENSORIAL CALMA 3 - 6 PIEZAS,-13,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,25479,JUEGROL471F,KIT 10 PLANCHAS DE GOMA ENSAMBLABLE 100X100X2.5 CM (TATAMI),-12,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,32335,HIELO,Hielo Cubos Sensoriales Con Copos De Nieve M11,-11,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,11914,JUEGROL23111,"CONECTOR DE TUBO, AROS Y ULA ULA",-10,1,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,11428,JUEGROL23847-1,ADAPTADOR PARA LAPIZ - CORRECTOR DE POSTURA PARA LAPIZ UNIDAD,-10,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,4390,JUEGSTA005,ARO PLASTICO 50 CM,-10,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,600,JUEGUSL210,CONECTOR PLASTICO PARA AROS,-10,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,8123,PL-666-3,HULA HULA 60 CM,-10,1,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,127,DEPGIMBAL076,BALON ESPONJA 6,-8,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,6947,JUEGROL23118,LADRILLO YOGA,-7,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,6320,31005,Bebé asiático niño 42cm sin pelo,-6,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,6319,31006,Bebe asiatico nina 42cm sin pelo,-6,0,Inventario,Productos Externos,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,5110,JUEGBAS473,SET DE ANIMALES SALVAJES 12 UNIDADES,-6,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,16466,PELOONY001,PELOTA DE GOMA 15 CM COLOR ROJO,-6,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,22197,3909295,TITERE PARA MANO DISEÑO ANIMALITOS UNIDAD,-5,1,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,9807,CARTCHI070,CARTULINA ESPANÌƒOLA 10 COLORES A4,-5,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,11084,D709016,LIBRO SOPA DE LETRAS 50 PÁG DACTIC,-5,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,1338,DAB001,AGUJAS PARA BALONES,-5,0,Inventario,Deportes,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,10982,JUEGZHE337,PELOTA MULTISENSORIAL DISENÌƒO BUÌHO,-5,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,15926,LTSALDA929,SOPA DE LETRAS 96 PAGINAS,-5,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,28515,45453,LAMINAS MAGNETICAS LAS VOCALES,-4,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,24474,AK1516927,SET DE 9 PELOTAS SENSORIALES,-4,0,Inventario,Didácticos ,,t,,""
"",VALIDAR_AJUSTE_INVENTARIO,7009,D705028,ANIMAL SELVA CLASIFICACIÓN,-4,0,Inventario,Didácticos ,,t,,""
