decision_cliente,accion_requerida,tabla,columna,id,valor,referencia,contexto,comentario_cliente
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,1432,0018-02-20 00:00:00,4743431,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,1479,0218-03-22 00:00:00,8284,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,1623,0208-04-03 00:00:00,637109,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,1852,0018-06-20 00:00:00,36008,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,1855,0218-06-20 00:00:00,13399,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,11167,0023-08-20 00:00:00,228582,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,11193,0024-01-08 00:00:00,10799,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,11205,0024-02-21 00:00:00,463189,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,11277,0024-02-19 00:00:00,32536,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,12118,2027-07-30 00:00:00,79253,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,12142,2027-07-31 00:00:00,717620,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,13198,0205-01-09 00:00:00,13626838,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_doc,15943,0206-01-15 00:00:00,326,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,1757,0218-07-30 00:00:00,103780,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,1790,0208-07-06 00:00:00,23601,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,1885,0208-08-27 00:00:00,2175,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,1960,0219-03-18 00:00:00,648088,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,3306,0001-01-01 00:00:00,50575,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,4911,0201-04-21 00:00:00,3761,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,10027,0023-11-22 00:00:00,118658,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,10381,0025-11-30 00:00:00,14240,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,11030,0001-01-01 00:00:00,4920,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,11033,0001-01-01 00:00:00,149,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,11080,0001-01-01 00:00:00,43217,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,11129,0001-01-01 00:00:00,1898687,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,11201,0001-01-01 00:00:00,5,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,13793,2055-04-07 00:00:00,1576,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,15637,0001-01-01 00:00:00,22345,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,catalogo.pagos_proveedores,fecha_pago,16020,2029-01-29 00:00:00,3863194,Pagada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,taller.bitacora_taller,fecha,1447,0001-07-05 00:00:00,,MARCELO,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,639,0017-02-04 00:00:00,904617-17-L117,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,3009,0022-11-11 00:00:00,2306-2128-COT22,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,3029,0022-12-11 00:00:00,1057448-666-COT22,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,3570,2202-12-19 00:00:00,2755-475-COT22,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,3933,0023-12-30 00:00:00,2281-228-COT23,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,4232,0203-03-20 00:00:00,578459-34-COT23,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,4351,0202-04-03 00:00:00,1057544-292-COT23,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,4725,0202-05-22 00:00:00,1057390-132-COT23,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,5180,0202-07-03 00:00:00,4022-472-COT23,Adjudicada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,5691,0202-08-08 00:00:00,1274667-275-COT23,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,10053,0024-02-07 00:00:00,3501-154-COT24,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,10378,0024-10-21 00:00:00,1060595-87-COT24,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,10563,0024-12-09 00:00:00,2314-227-L124,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11216,0024-12-02 00:00:00,2428-2069-COT24,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11220,0024-12-02 00:00:00,324-1092-COT24,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11224,0024-12-02 00:00:00,2484-1673-COT24,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11233,0024-12-02 00:00:00,2926-221-COT24,Adjudicada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11234,0024-12-02 00:00:00,2321-484-COT24,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11237,0024-12-02 00:00:00,2992-204-L124-1,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11646,0024-12-30 00:00:00,4034-10-COT25,No Adjudicada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,11976,0025-12-31 00:00:00,3675-20-COT25,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,14675,2925-09-07 00:00:00,593951-21-LR25-1,Adjudicada,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,15092,0025-02-11 00:00:00,1069417-1222-COT25,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,15894,0025-11-10 00:00:00,4477-455-COT25,Pendiente,""
"",CONFIRMAR_FECHA_REAL_O_NULL_HISTORICO,ventas.cotizacion_licitacion,fecha,16736,0026-12-20 00:00:00,3637-12-COT26,Pendiente,""
