decision_cliente,accion_requerida,codigo_vendedor,compras,primera_fecha,ultima_fecha,total_compras,muestras_n_compra,usuario_actual_aprobado,comentario_cliente
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1092,23227,2017-05-02 12:50:08,2026-10-27 13:33:17,20377966985,20170502050258 | 20170616041139 | 20171119105630 | 20171121032129 | 20171123065448 | 20180313110706 | 20180405093939 | 20180608100707,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1058,5982,2019-05-27 12:55:40,2026-12-22 14:21:30,11025220369,20190527125540 | 20190731041708 | 20190813045343 | 20190813062507 | 20190820115420 | 20190820031837 | 20190820054231 | 20190821104547,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1010,3915,2016-12-12 11:26:17,2018-08-21 20:13:24,1717184374,20161212112617 | 20161212121534 | 20161212024422 | 20161212030004 | 20161212040103 | 20161212040555 | 20161212053417 | 20161212080329,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1004,1338,2016-12-12 16:59:20,2018-08-16 17:22:06,420440280,20161212045920 | 20161212074450 | 20161213095658 | 20161213102546 | 20161213113102 | 20161213025638 | 20161213040933 | 20161213055537,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1083,1338,2018-06-21 13:30:39,2019-07-03 16:49:02,595308288,20180621013039 | 20180718064444 | 20181025014344 | 20181029062309 | 20181108061431 | 20181109123525 | 20181114010113 | 20181115120830,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,0,1219,2016-12-12 14:40:20,2026-05-14 08:42:24.474,78528985,20161212024019 | 20161212031549 | 20161213113828 | 20161214072229 | 20161214073506 | 20161215121143 | 20161215121146 | 20161215121147,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1075,544,2018-04-11 14:40:21,2018-11-19 11:49:25,323598386,20180411024021 | 20180801015355 | 20180813072223 | 20180814022853 | 20180814032415 | 20180814042415 | 20180816105828 | 20180816122838,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1199,372,2025-07-24 13:44:49,2026-04-27 11:57:41,250719260,20250724014449 | 20250804030656 | 20250806112945 | 20250807112613 | 20250811103108 | 20250811121543 | 20250904023340 | 20250904033518,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1008,329,2016-12-12 16:05:00,2018-02-01 16:14:21,109457181,20161212040500 | 20161213063349 | 20161213071630 | 20161215070050 | 20161219094409 | 20161219125022 | 20161220122830 | 20161221035835,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1211,284,2018-12-05 16:24:55,2026-05-14 08:42:24.474,262388128,20181204103815 | 20251110052409 | 20251118041724 | 20251120042601 | 20251202085057 | 20251202090452 | 20251202093115 | 20251202094126,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1136,232,2022-10-05 13:11:22,2023-01-11 22:28:09,158708831,20221005011122 | 20221005050943 | 20221011055318 | 20221012021213 | 20221012034732 | 20221013024529 | 20221014093643 | 20221014111824,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1037,213,2017-08-31 15:51:54,2018-02-02 15:11:16,148511915,20170831035154 | 20170831042621 | 20170831042639 | 20170831042716 | 20170831042735 | 20170831042819 | 20170927020326 | 20170927020513,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1155,160,2023-11-02 08:21:48,2024-01-24 17:28:46,89235274,20231102082148 | 20231102114748 | 20231102014336 | 20231102022831 | 20231102033849 | 20231102045602 | 20231122094639 | 20231124010518,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1011,157,2017-01-13 13:41:10,2018-09-28 16:27:23,43276439,20170113014110 | 20170208042709 | 20170213011603 | 20170213022335 | 20170213023825 | 20170217120820 | 20170502050908 | 20170511110246,"",""
