decision_cliente,accion_requerida,codigo_normalizado,ejemplo_codigo_original,ejemplo_nombre,filas,cotizaciones,cantidad_total,primera_fecha,ultima_fecha,muestras_cotizacion_id,producto_destino_aprobado,comentario_cliente
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,301226,301226,CUERDA DE VELOCIDAD,14,14,941,2017-02-11 00:00:00,2018-08-10 00:00:00,1049 | 1050 | 1133 | 176 | 310 | 324 | 433 | 507 | 571 | 799,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,EXT-PELOPING001,EXT-PELOPING 001,PELOTAS DE PING PONG,14,14,2460,2017-02-20 00:00:00,2018-07-30 00:00:00,1007 | 1051 | 1102 | 153 | 220 | 576 | 632 | 680 | 913 | 919,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,EXTREDMIN12030006,EXTREDMIN12030006,RED MINI TENNIS CON POSTES PLEGABLES,14,14,37,2017-02-02 00:00:00,2018-08-03 00:00:00,1040 | 1051 | 1102 | 1113 | 119 | 327 | 437 | 507 | 540 | 911,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,301231,301231,CONO TIPO LENTEJA 40 UNID.,9,9,70,2016-12-22 00:00:00,2018-07-30 00:00:00,1102 | 271 | 331 | 357 | 401 | 51 | 58 | 606 | 852,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DBS011,DBS011,BALON BASKETBOL STABIL # 5 GOMA 12 PANELES ,9,9,118,2017-01-16 00:00:00,2017-06-07 00:00:00,132 | 134 | 136 | 153 | 184 | 284 | 342 | 347 | 87,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,LUDO,LUDO,ITEM 8 JUEGO LUDO O PARCHIS - LUDO MAGNETICO 39X39CM,9,9,26,2022-07-26 00:00:00,2025-10-21 00:00:00,10375 | 10376 | 11814 | 1969 | 3549 | 3930 | 7621 | 8159 | 8311,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PETO1000,peto1000,PAR TOBILLERA 1 KG,9,9,47,2016-12-07 00:00:00,2018-04-16 00:00:00,19 | 216 | 257 | 283 | 288 | 355 | 504 | 9 | 958,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,5000716,5000716,MASAS Y PLASTILINAS PLAY DOH- PLAY DOH SUPER PACK DE MASAS PLASTILINAS 50 POTES,8,8,22,2023-06-08 00:00:00,2026-01-02 00:00:00,11324 | 11874 | 13933 | 15710 | 16160 | 16672 | 4904 | 9665,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,MESA180,MESA180,Mesa Plegable Tipo Maleta 180 cm,8,8,60,2023-10-19 00:00:00,2023-12-15 00:00:00,6254 | 6339 | 6379 | 6395 | 6459 | 6480 | 6496 | 7076,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARPI3601,arpi3601,ARO PILATES DE 38 CMS.,7,7,101,2016-12-07 00:00:00,2018-08-13 00:00:00,1054 | 1135 | 257 | 819 | 897 | 9 | 931,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DBS006,DBS006,BALON BASKETBOL STABIL # 7 PVC 12 PANELES ,7,7,39,2017-01-19 00:00:00,2017-06-06 00:00:00,134 | 149 | 184 | 234 | 300 | 340 | 98,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DEPELMIBA01,DEPELMIBA01,Loops de Bandas elásticas circulares,7,7,73,2016-12-20 00:00:00,2018-06-13 00:00:00,1019 | 1028 | 1040 | 40 | 663 | 819 | 897,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DEPFUTPET121,DEPFUTPET121,PETO DEPORTIVO,7,7,248,2017-05-10 00:00:00,2019-10-07 00:00:00,1202 | 1216 | 1303 | 1398 | 1417 | 284 | 686,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DEPPINMES214,DEPPINMES214,MESA DE PING PONG CON RUEDAS,7,7,19,2017-02-03 00:00:00,2018-09-26 00:00:00,1159 | 1165 | 123 | 203 | 370 | 371 | 660,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,EXTCOLCH001,EXT COLCH001,COLCHON 1 1/2 PLAZA,7,7,128,2017-05-15 00:00:00,2018-02-22 00:00:00,291 | 442 | 457 | 814 | 866 | 874 | 879,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,EXTTRAZYLET2,EXTTRAZYLET2,LIBROS TRAZOS Y LETRAS NÂº 2,7,7,336,2017-06-29 00:00:00,2017-12-04 00:00:00,424 | 527 | 533 | 737 | 757 | 758 | 775,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,S038,S038,LINEA 1 - TRIO GEL SENSORIAL,7,7,17,2024-11-21 00:00:00,2025-04-23 00:00:00,10999 | 11209 | 12209 | 12297 | 12383 | 12846 | 12919,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1220,1220,LETRAS MOVILES,6,6,28,2023-09-05 00:00:00,2025-09-15 00:00:00,10033 | 10474 | 14811 | 5970 | 9054 | 9568,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,2000391139097P,2000391139097P,JUEGO DE MESA MONOPOLY EDICIÓN SUPER MARIO,6,6,9,2023-12-07 00:00:00,2025-06-17 00:00:00,13606 | 13613 | 6962 | 7277 | 9496 | 9997,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,711260999,711260999,Juego Hasbro Gaming de Mesa Sorry,6,6,46,2024-05-07 00:00:00,2025-09-04 00:00:00,10013 | 10036 | 10300 | 10646 | 14624 | 8419,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COCO,COCO,Cocodrilo dentista,6,6,19,2023-06-07 00:00:00,2025-10-21 00:00:00,11705 | 11814 | 4887 | 6593 | 6594 | 8365,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COLE2000,cole2000,CONO TIPO LENTEJA 20 UNID.,6,6,25,2016-12-13 00:00:00,2017-11-08 00:00:00,19 | 301 | 571 | 623 | 679 | 711,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DBL003,DBL003,BALA LANZAMIENTO SUAVIZADA 3K,6,6,16,2017-05-03 00:00:00,2018-09-26 00:00:00,1165 | 271 | 435 | 476 | 766 | 923,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DEPBASAR056,DEPBASAR056,ARO BASQUETBOL CON PEDESTAL,6,6,13,2016-12-07 00:00:00,2017-09-30 00:00:00,10 | 119 | 132 | 340 | 376 | 540,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,DRF099,DRF099,RED FUTBOLITO 2.0 MM ,6,6,18,2017-03-15 00:00:00,2018-06-27 00:00:00,1061 | 176 | 265 | 342 | 601 | 611,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,EXTBALSECANT001,EXTBALSECANT001,BALANZA CON TALLIMETRO,6,6,20,2017-05-23 00:00:00,2017-09-04 00:00:00,308 | 343 | 422 | 515 | 538 | 551,"",""
