decision_cliente,accion_requerida,bitacora_id,fecha,created_at,usuario,usuario_reporta,texto,odt_aprobada_si_corresponde,comentario_cliente
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,1447,0001-07-05 00:00:00,2026-05-15 22:09:39.834,MARCELO,zalma1,1 colchoneta de 70*50*8 - 5 bolsasd FG - 1 cuadrado de FG.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,1,2017-01-11 00:00:00,2026-05-15 22:09:39.711,Oriana,Oriana,bhkhkhjvudf,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,2,2017-04-04 00:00:00,2026-05-15 22:09:39.711,prueba1,Prueba2,gyjggy,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,3,2017-04-04 00:00:00,2026-05-15 22:09:39.711,prueba1,Prueba2,hgygyg,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,4,2017-04-06 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,1,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,5,2017-04-06 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,1,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,6,2017-04-06 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,1,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,7,2017-04-06 00:00:00,2026-05-15 22:09:39.711,edwin1,edwin1,1,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,8,2017-04-10 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,"ruth COCIÒ 1/2 PISCINA REDONDA -CORTO  1 CIRCUITO -1 ASIENTO DE CUNCUNA -2 RUEDAS DE AUTO -1 GATO (MUESTRA NUEVA).rnrnJUDITH: COCIÒ 1 LATERAL - 2 RUEDAS DEL AUTOMOVIL - 4 PETALOS DE LA PISCINA FLOR .rnrnZALMA: COCIÒ: 1/2 CABINA - 1 LATERAL DEL AUTOMOVIL, -CERRO A MANO 1 CABINA -4 TAPABARROS - 2 FAROLES -1 PARABRISA - 1 RUEDA.","",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,9,2017-04-10 00:00:00,2026-05-15 22:09:39.711,edwin1,edwin1,-Aseo y lavado de juegosrn-Fundado completo automovilrn-Fundado kit ramparn-Fundado alfombra ludicarn-Carga de modulosrn-Ayuda corte espumarn-Fundado piscina redondarn-Aluzado modulosrn,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,13,2017-04-10 00:00:00,2026-05-15 22:09:39.711,Judith,zalma1,1 lateral - 2 ruedas del automovil -4 petalos de la piscina flor.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,14,2017-04-10 00:00:00,2026-05-15 22:09:39.711,Ruth,zalma1,172 piscina redonda cocio  - corto 1 circuito - 1 asiento de cuncuna - 2 ruedas de auto 1 gato muestra nueva.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,10,2017-04-11 00:00:00,2026-05-15 22:09:39.711,edwin1,edwin1,-Viaje a santiago,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,15,2017-04-11 00:00:00,2026-05-15 22:09:39.711,Ruth,zalma1,cocio 2 petalos -1 piscina flor- corto 2 puf completos -1 cojin de 40 25/4 -1puf de tnt -1 bolsa de tazlan y la cocio 2 vestibuladores mudador.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,16,2017-04-11 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,1 vestibulador flexor -1 asiento cuncuna -2 puf de ecocuero -y las fundas de tnt -1 manta voladora y su bolsa cerre a mano 3 ruedas del auto -2 hexagonos.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,11,2017-04-12 00:00:00,2026-05-15 22:09:39.711,edwin1,edwin1,"-Aseo y lavado de juegosrn-Embalado sillas x 16rn-Embalado mesas x 5rn-Embalado piscina,pelotas,fideosrn-Embalado bloques,sacos de dormirrn-Carga de modulosrn-Repartorn-Carga de modulosrn-Fundado figuras geometricas","",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,17,2017-04-12 00:00:00,2026-05-15 22:09:39.711,Ruth,zalma1,cortò 1 vestibulador mudador -5 vestibuladores flexor -4 cubos de 20+20 -16 puntas de colchoneta -laterales de rampa -laterales de los cuadrados del cala -4 vestibuladores rollo -4 cubos de contruccion -bolsas de tnt de cuncuna.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,18,2017-04-12 00:00:00,2026-05-15 22:09:39.711,Judith,zalma1,8 colchonetas1*50*4 -1 vestibulador flexor -1 vestibulador mudador -2 cubos de contruccion,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,19,2017-04-12 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,1 circuito -1 cojin de 40*25*4 -1 set de fig geometricas -1 vestibulador rollo -cerre a mano 3 pzas de fig geometricas,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,12,2017-04-13 00:00:00,2026-05-15 22:09:39.711,edwin1,edwin1,"-Aseo y lavado de juegosrn-Fundado piscina florrn                piscina redondarn                vestibulador flexorrn-Carga de modulos,repartorn-Fundado bloques de construccionrn                asiento cuncunarn                circuitorn                vestibulador mudadorrn-Embalado piscina florrn-Emabalado vehiculo (partes)","",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,20,2017-04-13 00:00:00,2026-05-15 22:09:39.711,Ruth,zalma1,cortò 1 cilindro con anillos -7 bolsas de tnt  6 cubos de 20*20 - puntas de colchonetas - bases de piscina esquinera -salio a tomar medidas.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,21,2017-04-13 00:00:00,2026-05-15 22:09:39.711,Judith,zalma1,10 cubos de construccion -3 bolsas de tnt 1 colchoneta de 120* 60*4 -cocio a mano 4 cubos de construccion.,"",""
"",CONFIRMAR_SI_ES_BITACORA_DIARIA_O_ODT,22,2017-04-13 00:00:00,2026-05-15 22:09:39.711,zalma1,zalma1,1cilindro -3 anillos 1 bolsa de tnt cuncuna -cerrè a mano 8 cubos de contruccion -7 pzas de fig geometricas -2 anillos -1 cilidro.,"",""
