decision_cliente,accion_requerida,legacy_id,codigo_interno,stock,fecha,usuario,comentario_cliente
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,1,NCD06010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,2,R62011,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,3,S101073,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,4,S601001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,5,T201097,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,6,211,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,7,C609007,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,8,C609008,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,9,D101014-2,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,10,D103001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,11,D207010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,12,D207012,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,13,D207021,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,14,D207060,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,15,D209016,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,16,D230010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,17,D230025,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,18,D230042,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,19,D301028,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,20,D301031,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,21,D302009,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,22,D302036,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,23,D302051,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,24,D302052,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,25,D306026,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,26,D450017,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,27,D501010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,28,D701016,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,29,D701017,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,30,D701043,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,31,D705042,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,32,D707020,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,33,D807042,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,34,D811001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,35,D901017,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,36,D905010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,37,DBWHP2030S,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,38,F1079F,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,39,F1279,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,40,JUEGSET-06,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,41,JUEGSET-16,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,42,JUEGSET-18,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,43,JUEGSET-71,0,2025-08-21 12:52:20,Gerardo Mercier,
